iter	Passed	Remaining
0	153	153566
1	155	77743
2	157	52418
3	160	39904
4	162	32318
5	164	27262
6	166	23598
7	168	20881
8	170	18750
9	171	17013
10	173	15641
11	175	14481
12	177	13497
13	179	12634
14	181	11893
15	182	11245
16	184	10665
17	185	10142
18	187	9679
19	188	9258
20	190	8877
21	191	8522
22	192	8195
23	194	7897
24	195	7628
25	197	7381
26	198	7148
27	199	6929
28	201	6733
29	202	6549
30	203	6372
31	205	6202
32	206	6046
33	207	5895
34	208	5751
35	209	5623
36	211	5502
37	212	5388
38	214	5279
39	215	5172
40	216	5068
41	217	4967
42	218	4870
43	220	4781
44	221	4693
45	222	4612
46	223	4534
47	224	4458
48	225	4386
49	227	4317
50	228	4248
51	229	4182
52	230	4117
53	231	4052
54	232	3988
55	233	3928
56	234	3874
57	235	3820
58	236	3765
59	236	3710
60	237	3657
61	238	3607
62	239	3558
63	239	3509
64	240	3463
65	241	3423
66	242	3382
67	243	3334
68	244	3292
69	244	3253
70	245	3213
71	246	3175
72	247	3137
73	247	3100
74	248	3064
75	249	3028
76	249	2993
77	250	2958
78	250	2924
79	251	2891
80	251	2858
81	252	2826
82	253	2795
83	253	2765
84	254	2734
85	254	2706
86	255	2676
87	255	2651
88	256	2625
89	257	2599
90	257	2573
91	258	2548
92	258	2524
93	259	2499
94	259	2475
95	260	2452
96	260	2429
97	261	2407
98	262	2385
99	262	2363
100	263	2342
101	263	2319
102	264	2299
103	264	2280
104	265	2261
105	265	2242
106	266	2223
107	267	2205
108	267	2187
109	268	2170
110	268	2153
111	269	2137
112	270	2121
113	270	2104
114	271	2088
115	271	2071
116	272	2055
117	272	2039
118	273	2023
119	273	2008
120	274	1993
121	274	1978
122	275	1962
123	275	1947
124	276	1933
125	276	1919
126	277	1906
127	277	1892
128	278	1878
129	278	1866
130	279	1853
131	279	1840
132	280	1828
133	280	1815
134	281	1803
135	282	1792
136	282	1782
137	283	1769
138	284	1759
139	284	1748
140	285	1737
141	285	1727
142	286	1716
143	286	1705
144	287	1695
145	288	1684
146	288	1674
147	289	1665
148	289	1655
149	290	1645
150	290	1635
151	291	1625
152	292	1616
153	292	1606
154	293	1597
155	293	1588
156	294	1579
157	294	1570
158	295	1561
159	295	1552
160	296	1545
161	297	1537
162	297	1529
163	298	1521
164	299	1513
165	299	1505
166	300	1497
167	300	1490
168	301	1482
169	301	1474
170	302	1466
171	303	1459
172	303	1451
173	304	1444
174	304	1436
175	305	1429
176	305	1422
177	306	1414
178	306	1407
179	307	1400
180	307	1392
181	308	1385
182	308	1378
183	309	1372
184	309	1365
185	310	1359
186	311	1352
187	311	1346
188	312	1339
189	312	1333
190	313	1326
191	313	1320
192	314	1314
193	315	1308
194	315	1302
195	316	1296
196	316	1290
197	317	1284
198	317	1278
199	318	1272
200	318	1267
201	319	1261
202	319	1255
203	320	1250
204	320	1244
205	321	1239
206	322	1233
207	322	1228
208	323	1223
209	323	1217
210	324	1213
211	325	1208
212	325	1202
213	326	1197
214	326	1192
215	327	1187
216	327	1182
217	328	1177
